IDNUMBER,Hospital,Facility name,Address,Town,ZIP code,CHIA region,Type of hospital,Hospital system,Telephone,Facility type,norm_address,norm_name,Nursing homes within 30 minutes drive time,Hospitals within 30 minutes drive time
,,BEAUMONT REHAB & SKILLED NURS CTR,3 LYMAN STREET,WESTBOROUGH,1581,,,,,Nursing home,3 lyman street,beaumont rehab  skilled nurs ctr,,9.0
,,Blueberry Hill Rehabilitation & Healthcare Center,75 Brimbal Avenue,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,75 brimbal avenue,blueberry hill rehabilitation  healthcare center,,7.0
,,Abbott Skilled Nursing and Rehabilitation Center,28 Essex Street,Lynn,1902,Northeastern Massachusetts,,,,Nursing home,28 essex street,abbott skilled nursing and rehabilitation center,,5.0
,,Country Gardens Health & Rehabilitation Center,2045 Grand Army Highway,Swansea,2777,Southcoast,,,,Nursing home,2045 grand army highway,country gardens health  rehabilitation center,,3.0
,,Belvidere Healthcare Center,500 Wentworth Avenue,Lowell,1852,Northeastern Massachusetts,,,,Nursing home,500 wentworth avenue,belvidere healthcare center,,10.0
,,Keystone Center,44 Keystone Drive,Leominster,1453,Central Massachusetts,,,,Nursing home,44 keystone drive,keystone center,,7.0
,,Lanessa Extended Care,751 School Street,Webster,1570,Central Massachusetts,,,,Nursing home,751 school street,lanessa extended care,,4.0
,,Cape Regency Rehabilitation & Health Care Center,120 South Main Street,Barnstable,2632,Cape and Islands,,,,Nursing home,120 south main street,cape regency rehabilitation  health care center,,1.0
,,Bear Mountain at Worcester,59 Acton Street,Worcester,1604,Central Massachusetts,,,,Nursing home,59 acton street,bear mountain at worcester,,6.0
,,Center For Extended Care at Amherst,150 University Drive,Amherst,1002,Western Massachusetts,,,,Nursing home,150 university drive,center for extended care at amherst,,2.0
,,Royal Cape Cod Nursing & Rehabilitation Center,8 Lewis Point Road,Bourne,2532,Cape and Islands,,,,Nursing home,8 lewis point road,royal cape cod nursing  rehabilitation center,,3.0
,,Care One at Randolph,49 Thomas Patten Drive,Randolph,2368,Metro South,,,,Nursing home,49 thomas patten drive,care one at randolph,,12.0
,,"Royal Nursing Center, LLC",359 Jones Road,Falmouth,2540,Cape and Islands,,,,Nursing home,359 jones road,royal nursing center llc,,1.0
,,Thomas Upham House,519 Main Street,Medfield,2052,Metro West,,,,Nursing home,519 main street,thomas upham house,,5.0
,,Melrose Healthcare,40 Martin Street,Melrose,2176,Metro Boston,,,,Nursing home,40 martin street,melrose healthcare,,19.0
,,Beaumont Rehab & Skilled Nursing Natick,3 Vision Drive,Natick,1760,Metro West,,,,Nursing home,3 vision drive,beaumont rehab  skilled nursing natick,,9.0
,,Formost at Sharon LLC,259 Norwood Street,Sharon,2067,Metro West,,,,Nursing home,259 norwood street,formost at sharon llc,,9.0
,,Worcester Rehabilitation & Health Care Center,119 Providence Street,Worcester,1604,Central Massachusetts,,,,Nursing home,119 providence street,worcester rehabilitation  health care center,,6.0
,,Care One at Peabody,199 Andover Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,199 andover street,care one at peabody,,10.0
,,St. Joseph Manor Health Care Inc.,215 Thatcher Street,Brockton,2302,Metro South,,,,Nursing home,215 thatcher street,st joseph manor health care inc,,4.0
,,Lakeview House Skilled Nursing & Residential Care Facility,87 Shattuck Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,87 shattuck street,lakeview house skilled nursing  residential care facility,,5.0
,,Continuing Care at Brooksby Village,400 Brooksby Village Drive,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,400 brooksby village drive,continuing care at brooksby village,,10.0
,,Sudbury Pines Extended Care,642 Boston Post Road,Sudbury,1776,Northeastern Massachusetts,,,,Nursing home,642 boston post road,sudbury pines extended care,,5.0
,,West Roxbury Health & Rehabilitation Center,5060 Washington Street,Boston,2132,Metro Boston,,,,Nursing home,5060 washington street,west roxbury health  rehabilitation center,,18.0
,,Brookside Rehabilitation and Healthcare Center,11 Pontiac Avenue,Webster,1570,Central Massachusetts,,,,Nursing home,11 pontiac avenue,brookside rehabilitation and healthcare center,,4.0
,,Park Avenue Health Center,146 Park Avenue,Arlington,2476,Northeastern Massachusetts,,,,Nursing home,146 park avenue,park avenue health center,,19.0
,,Royal Meadow View Center,134 North Street,North Reading,1864,Northeastern Massachusetts,,,,Nursing home,134 north street,royal meadow view center,,10.0
,,Wilmington Rehab Center,90 West Street,Wilmington,1887,Northeastern Massachusetts,,,,Nursing home,90 west street,wilmington rehab center,,22.0
,,Brandon Woods of New Bedford,397 County Street,New Bedford,2740,Southcoast,,,,Nursing home,397 county street,brandon woods of new bedford,,4.0
,,Life Care Center of Raynham,546 South Street W,Raynham,2767,Metro South,,,,Nursing home,546 south street w,life care center of raynham,,8.0
,,Walpole Healthcare,160 Main Street,Walpole,2081,Metro West,,,,Nursing home,160 main street,walpole healthcare,,7.0
,,JML Care Center,184 Ter Heun Drive,Falmouth,2540,Cape and Islands,,,,Nursing home,184 ter heun drive,jml care center,,1.0
,,River Terrace Rehabilitation and Healthcare Center,1675 North Main Street,Lancaster,1523,Central Massachusetts,,,,Nursing home,1675 north main street,river terrace rehabilitation and healthcare center,,8.0
,,Queen Anne Nursing Home,50 Recreation Park Drive,Hingham,2043,Metro South,,,,Nursing home,50 recreation park drive,queen anne nursing home,,9.0
,,Marlborough Hills Rehabiltiation & Health Care Center,121 Northboro Road East,Marlborough,1752,Metro West,,,,Nursing home,121 northboro road east,marlborough hills rehabiltiation  health care center,,7.0
,,Blaire House of Worcester,116 Houghton Street,Worcester,1604,Central Massachusetts,,,,Nursing home,116 houghton street,blaire house of worcester,,6.0
,,Bridgewater Nursing Home,16 Pleasant Street,Bridgewater,2324,Metro South,,,,Nursing home,16 pleasant street,bridgewater nursing home,,5.0
,,Hannah B. G. Shaw Home,299 Wareham Street,Middleborough,2346,Metro South,,,,Nursing home,299 wareham street,hannah b g shaw home,,4.0
,,Tremont Health Care Center,605 Main Street,Wareham,2571,Southcoast,,,,Nursing home,605 main street,tremont health care center,,3.0
,,The Hermitage Healthcare,383 Mills Street,Worcester,1602,Central Massachusetts,,,,Nursing home,383 mills street,the hermitage healthcare,,3.0
,,Fitchburg Rehabilitation and Nursing Center,94 Summer Street,Fitchburg,1420,Central Massachusetts,,,,Nursing home,94 summer street,fitchburg rehabilitation and nursing center,,4.0
,,Julian J. Levitt Family Nursing Home,770 Converse Street,Longmeadow,1106,Western Massachusetts,,,,Nursing home,770 converse street,julian j levitt family nursing home,,4.0
,,ALLIANCE HEALTH AT DOOLITTLE,16 BIRD STREET,FOXBOROUGH,2035,,,,,Nursing home,16 bird street,alliance health at doolittle,,7.0
,,Bear Mountain at West Springfield,42 Prospect Avenue,West Springfield,1089,Western Massachusetts,,,,Nursing home,42 prospect avenue,bear mountain at west springfield,,6.0
,,AdviniaCare Newburyport,180 Low Street,Newburyport,1950,Northeastern Massachusetts,,,,Nursing home,180 low street,adviniacare newburyport,,5.0
,,"Advocate Healthcare of East Boston, LLC",111 Orient Avenue,Boston,2128,Metro Boston,,,,Nursing home,111 orient avenue,advocate healthcare of east boston llc,,20.0
,,Jesmond Nursing Home,271 Nahant Road,Nahant,1908,Northeastern Massachusetts,,,,Nursing home,271 nahant road,jesmond nursing home,,3.0
,,Life Care Center of Nashoba Valley,191 Foster Street,Littleton,1460,Northeastern Massachusetts,,,,Nursing home,191 foster street,life care center of nashoba valley,,8.0
,,Medford Rehabilitation and Nursing Center,300 Winthrop Street,Medford,2155,Metro Boston,,,,Nursing home,300 winthrop street,medford rehabilitation and nursing center,,23.0
,,Holden Rehabilitation & Nursing Center,32 Mayo Drive,Holden,1520,Central Massachusetts,,,,Nursing home,32 mayo drive,holden rehabilitation  nursing center,,6.0
,,Life Care Center of Plymouth,94 Obery Street,Plymouth,2360,Metro South,,,,Nursing home,94 obery street,life care center of plymouth,,2.0
,,Newfield House Convalescent Home,19 Newfield Street,Plymouth,2360,Metro South,,,,Nursing home,19 newfield street,newfield house convalescent home,,1.0
,,Williamstown Commons Nursing & Rehabilitation,25 Adams Road,Williamstown,1267,Western Massachusetts,,,,Nursing home,25 adams road,williamstown commons nursing  rehabilitation,,1.0
,,Wakefield Center,One Bathol Street,Wakefield,1880,Metro Boston,,,,Nursing home,one bathol street,wakefield center,,14.0
,,Prescott House,140 Prescott Street,North Andover,1845,Northeastern Massachusetts,,,,Nursing home,140 prescott street,prescott house,,7.0
,,Twin Oaks Center,63 Locust Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,63 locust street,twin oaks center,,10.0
,,Milford Center,10 Veterans Memorial Drive,Milford,1757,Metro West,,,,Nursing home,10 veterans memorial drive,milford center,,3.0
,,Charlwell House Health and Rehabilitation,305 Walpole Street,Norwood,2062,Metro West,,,,Nursing home,305 walpole street,charlwell house health and rehabilitation,,9.0
,,"New England Homes for the Deaf, Inc.",154 Water Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,154 water street,new england homes for the deaf inc,,8.0
,,Palm Skilled Nursing Care and Center for Rehab Excellence,40 Parkhurst Road,Chelmsford,1824,Northeastern Massachusetts,,,,Nursing home,40 parkhurst road,palm skilled nursing care and center for rehab excellence,,8.0
,,Lighthouse Nursing Care Center,204 Proctor Avenue,Revere,2151,Metro Boston,,,,Nursing home,204 proctor avenue,lighthouse nursing care center,,19.0
,,Oakdale Rehabilitation & Skilled Nursing Center,76 North Main Street,West Boylston,1583,Central Massachusetts,,,,Nursing home,76 north main street,oakdale rehabilitation  skilled nursing center,,6.0
,,Mission Care at Holyoke,35 Holy Family Road,Holyoke,1040,Western Massachusetts,,,,Nursing home,35 holy family road,mission care at holyoke,,6.0
,,Windsor Nursing & Retirement Home,265 North Main Street,Yarmouth,2664,Cape and Islands,,,,Nursing home,265 north main street,windsor nursing  retirement home,,1.0
,,Sacred Heart Nursing Home,359 Summer Street,New Bedford,2740,Southcoast,,,,Nursing home,359 summer street,sacred heart nursing home,,4.0
,,Renaissance Manor on Cabot,279 Cabot Street,Holyoke,1040,Western Massachusetts,,,,Nursing home,279 cabot street,renaissance manor on cabot,,6.0
,,New England Sinai Hospital Transitional Care Unit,150 York Street,Stoughton,2072,Metro South,,,,Nursing home,150 york street,new england sinai hospital transitional care unit,,8.0
,,Cambridge Rehabilitation & Nursing Center,8 Dana Street,Cambridge,2138,Metro Boston,,,,Nursing home,8 dana street,cambridge rehabilitation  nursing center,,22.0
,,Hancock Park Rehabilitation and Nursing Center,164 Parkingway,Quincy,2169,Metro South,,,,Nursing home,164 parkingway,hancock park rehabilitation and nursing center,,16.0
,,Maplewood Center,6 Morrill Place,Amesbury,1913,Northeastern Massachusetts,,,,Nursing home,6 morrill place,maplewood center,,4.0
,,Devereux Skilled Nursing & Rehabilitation Center,39 Lafayette Street,Marblehead,1945,Northeastern Massachusetts,,,,Nursing home,39 lafayette street,devereux skilled nursing  rehabilitation center,,3.0
,,Carleton-Willard Village Retirement and Nursing Center,100 Old Billerica Road,Bedford,1730,Northeastern Massachusetts,,,,Nursing home,100 old billerica road,carletonwillard village retirement and nursing center,,12.0
,,"Boston Home, Inc.",2061 Dorchester Avenue,Boston,2124,Metro Boston,,,,Nursing home,2049 dorchester avenue,boston home inc,,22.0
,,Alliance Health at Maples,90 Taunton Street,Wrentham,2093,Metro West,,,,Nursing home,90 taunton street,alliance health at maples,,4.0
,,Shrewsbury Nursing & Rehabilitation Center,40 Julio Drive,Shrewsbury,1545,Central Massachusetts,,,,Nursing home,40 julio drive,shrewsbury nursing  rehabilitation center,,6.0
,,Somerset Ridge Center,455 Brayton Avenue,Somerset,2726,Southcoast,,,,Nursing home,455 brayton avenue,somerset ridge center,,4.0
,,Lasell House,120 Seminary Avenue,Newton,2466,Metro Boston,,,,Nursing home,120 seminary avenue,lasell house,,26.0
,,Saugus Center,266 Lincoln Avenue,Saugus,1906,Metro Boston,,,,Nursing home,266 lincoln avenue,saugus center,,18.0
,,The Elmhurst Healthcare,743 Main Street,Melrose,2176,Metro Boston,,,,Nursing home,743 main street,the elmhurst healthcare,,14.0
,,Knollwood Nursing Center,87 Briarwood Circle,Worcester,1606,Central Massachusetts,,,,Nursing home,87 briarwood circle,knollwood nursing center,,6.0
,,North End Rehabilitation And Healthcare Center,70 Fulton Street,Boston,2109,Metro Boston,,,,Nursing home,70 fulton street,north end rehabilitation and healthcare center,,23.0
,,Southpointe Rehab Center,100 Amity Street,Fall River,2721,Southcoast,,,,Nursing home,100 amity street,southpointe rehab center,,3.0
,,CHAPIN CENTER,200 KENDALL STREET,SPRINGFIELD,1104,,,,,Nursing home,200 kendall street,chapin center,,6.0
,,Westfield Gardens Nursing and Rehabilitation,37 Feeding Hills Road,Westfield,1085,Western Massachusetts,,,,Nursing home,37 feeding hills road,westfield gardens nursing and rehabilitation,,4.0
,,West Side House LTC Facility,35 Fruit Street,Worcester,1609,Central Massachusetts,,,,Nursing home,35 fruit street,west side house ltc facility,,6.0
,,Bear Mountain at Sudbury,136 Boston Post Road,Sudbury,1776,Northeastern Massachusetts,,,,Nursing home,136 boston post road,bear mountain at sudbury,,8.0
,,The Oaks,4525 Acushnet Avenue,New Bedford,2745,Southcoast,,,,Nursing home,4525 acushnet avenue,the oaks,,5.0
,,Wachusett Manor,32 Hospital Hill Road,Gardner,1440,Central Massachusetts,,,,Nursing home,32 hospital hill road,wachusett manor,,3.0
,,WILLIMANSETT CENTER WEST,546 CHICOPEE STREET,CHICOPEE,1013,,,,,Nursing home,546 chicopee street,willimansett center west,,6.0
,,Royal Wayland Nursing & Rehabilitation Center,188 Commonwealth Road,Wayland,1778,Metro West,,,,Nursing home,188 commonwealth road,royal wayland nursing  rehabilitation center,,13.0
,,Life Care Center of West Bridgewater,765 West Center Street,West Bridgewater,2379,Metro South,,,,Nursing home,765 west center street,life care center of west bridgewater,,11.0
,,Mary Ann Morse Nursing & Rehabilitation,45 Union Street,Natick,1760,Metro West,,,,Nursing home,45 union street,mary ann morse nursing  rehabilitation,,5.0
,,Gardner Rehabilitation and Nursing Center,59 Eastwood Circle,Gardner,1440,Central Massachusetts,,,,Nursing home,59 eastwood circle,gardner rehabilitation and nursing center,,3.0
,,SUNNY ACRES SKILLED NURSING AND REHABILITATION C,254 BILLERICA ROAD,CHELMSFORD,1824,,,,,Nursing home,254 billerica road,sunny acres skilled nursing and rehabilitation c,,10.0
,,Recuperative Services Unit - Hebrew Rehabilitation Center,1200 Centre Street,Boston,2131,Metro Boston,,,,Nursing home,1200 centre street,recuperative services unit  hebrew rehabilitation center,,20.0
,,Baker-Katz Skilled Nursing & Rehabilitation Center,194 Boardman Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,194 boardman street,bakerkatz skilled nursing  rehabilitation center,,5.0
,,Woburn Rehabilitation and Nursing Center,18 Frances Street,Woburn,1801,Northeastern Massachusetts,,,,Nursing home,18 frances street,woburn rehabilitation and nursing center,,19.0
,,Notre Dame Long Term Care Center,559 Plantation Street,Worcester,1605,Central Massachusetts,,,,Nursing home,559 plantation street,notre dame long term care center,,6.0
,,Our Lady's Haven of Fairhaven Inc.,71 Center Street,Fairhaven,2719,Southcoast,,,,Nursing home,71 center street,our ladys haven of fairhaven inc,,4.0
,,Care One at Millbury,312 Millbury Avenue,Millbury,1527,Central Massachusetts,,,,Nursing home,312 millbury avenue,care one at millbury,,6.0
,,Fairview Commons Nursing & Rehabilitation Center,151 Christian Hill Road,Great Barrington,1230,Western Massachusetts,,,,Nursing home,151 christian hill road,fairview commons nursing  rehabilitation center,,1.0
,,Webster Manor Rehabilitation & Health Care Center,745 School Street,Webster,1570,Central Massachusetts,,,,Nursing home,745 school street,webster manor rehabilitation  health care center,,4.0
,,St. Mary Health Care Center,39 Queen Street,Worcester,1610,Central Massachusetts,,,,Nursing home,39 queen street,st mary health care center,,5.0
,,Baypointe Rehab Center,50 Christy Place,Brockton,2401,Metro South,,,,Nursing home,50 christy place,baypointe rehab center,,9.0
,,Leonard Florence Center for Living,165 Captain's Row,Chelsea,2150,Metro Boston,,,,Nursing home,165 captains row,leonard florence center for living,,21.0
,,Hannah Duston Healthcare Center,126 Monument Street,Haverhill,1832,Northeastern Massachusetts,,,,Nursing home,126 monument street,hannah duston healthcare center,,6.0
,,Newbridge on the Charles Skilled Nursing Facility,7000 Great Meadow Road,Dedham,2026,Metro Boston,,,,Nursing home,7000 great meadow road,newbridge on the charles skilled nursing facility,,19.0
,,Linden Ponds,400 Linden Ponds Way,Hingham,2043,Metro South,,,,Nursing home,400 linden ponds way,linden ponds,,5.0
,,Royal Megansett Nursing & Rehabilitation,209 County Road,Falmouth,2556,Cape and Islands,,,,Nursing home,209 county road,royal megansett nursing  rehabilitation,,2.0
,,Webster Park Rehabilitation and Healthcare Center,56 Webster Street,Rockland,2370,Metro South,,,,Nursing home,56 webster street,webster park rehabilitation and healthcare center,,5.0
,,Life Care Center of Wilbraham,2399 Boston Road,Wilbraham,1095,Western Massachusetts,,,,Nursing home,2399 boston road,life care center of wilbraham,,4.0
,,Odd Fellows Home of Massachusetts,104 Randolph Road,Worcester,1606,Central Massachusetts,,,,Nursing home,104 randolph road,odd fellows home of massachusetts,,6.0
,,Blue Hills Health and Rehabilitation Center,1044 Park Street,Stoughton,2072,Metro South,,,,Nursing home,1044 park street,blue hills health and rehabilitation center,,9.0
,,Westfield Center,60 East Silver Street,Westfield,1085,Western Massachusetts,,,,Nursing home,60 east silver street,westfield center,,4.0
,,OVERLOOK MASONIC HEALTH CENTER,88 MASONIC HOME ROAD,CHARLTON,1507,,,,,Nursing home,88 masonic home road,overlook masonic health center,,4.0
,,Hunt Nursing & Rehabilitation Center,90 Lindall Street,Danvers,1923,Northeastern Massachusetts,,,,Nursing home,90 lindall street,hunt nursing  rehabilitation center,,10.0
,,Port Healthcare Center,6 Hale Street,Newburyport,1950,Northeastern Massachusetts,,,,Nursing home,6 hale street,port healthcare center,,5.0
,,Spaulding Nursing & Therapy Center - Brighton,100 North Beacon Street,Boston,2109,Metro Boston,,,,Nursing home,100 north beacon street,spaulding nursing  therapy center  brighton,,21.0
,,Bethany Skilled Nursing Facility,97 Bethany Road,Framingham,1701,Metro West,,,,Nursing home,97 bethany road,bethany skilled nursing facility,,4.0
,,Pope Nursing Home,140 Webb Street,Weymouth,2188,Metro South,,,,Nursing home,140 webb street,pope nursing home,,9.0
,,Catholic Memorial Home,2446 Highland Avenue,Fall River,2720,Southcoast,,,,Nursing home,2446 highland avenue,catholic memorial home,,5.0
,,Sixteen Acres Healthcare Center,215 Bicentennial Highway,Springfield,1118,Western Massachusetts,,,,Nursing home,215 bicentennial highway,sixteen acres healthcare center,,4.0
,,Clifton Rehabilitation Nursing Center,500 Wilbur Avenue,Somerset,2725,Southcoast,,,,Nursing home,500 wilbur avenue,clifton rehabilitation nursing center,,4.0
,,Blaire House of Milford,20 Claflin Street,Milford,1757,Metro West,,,,Nursing home,20 claflin street,blaire house of milford,,2.0
,,Hathaway Manor Extended Care,863 Hathaway Road,New Bedford,2740,Southcoast,,,,Nursing home,863 hathaway road,hathaway manor extended care,,4.0
,,RegalCare at Taunton,68 Dean Street,Taunton,2780,Metro South,,,,Nursing home,68 dean street,regalcare at taunton,,5.0
,,Southeast Health Care Center,184 Lincoln Street,Easton,2356,Metro South,,,,Nursing home,184 lincoln street,southeast health care center,,5.0
,,D'Youville Care for Advanced Therapy,1071 Varnum Avenue,Lowell,1854,Northeastern Massachusetts,,,,Nursing home,1071 varnum avenue,dyouville care for advanced therapy,,3.0
,,Palmer Healthcare Center,250 Shearer Street,Palmer,1069,Western Massachusetts,,,,Nursing home,250 shearer street,palmer healthcare center,,5.0
,,North Adams Commons Nursing & Rehabilitation Center,175 Franklin Street,North Adams,1247,Western Massachusetts,,,,Nursing home,175 franklin street,north adams commons nursing  rehabilitation center,,1.0
,,Royal Norwell Nursing & Rehabilitation Center,329 Washington Street,Norwell,2061,Metro South,,,,Nursing home,329 washington street,royal norwell nursing  rehabilitation center,,6.0
,,Timothy Daniels House,84 Elm Street,Holliston,1746,Metro West,,,,Nursing home,84 elm street,timothy daniels house,,5.0
,,Nemasket Healthcare Center,314 Marion Road,Middleborough,2346,Metro South,,,,Nursing home,314 marion road,nemasket healthcare center,,1.0
,,Care One at Northampton,548 Elm Street,Northampton,1060,Western Massachusetts,,,,Nursing home,548 elm street,care one at northampton,,5.0
,,Life Care Center of Stoneham,25 Woodland Road,Stoneham,2180,Northeastern Massachusetts,,,,Nursing home,25 woodland road,life care center of stoneham,,21.0
,,RegalCare at Greenfield,95 Laurel Street,Greenfield,1302,Western Massachusetts,,,,Nursing home,95 laurel street,regalcare at greenfield,,2.0
,,Copley at Stoughton Nursing Care Center,380 Sumner Street,Stoughton,2072,Metro South,,,,Nursing home,380 sumner street,copley at stoughton nursing care center,,8.0
,,Skilled Nursing Facility at North Hill,865 Central Avenue,Needham,2492,Metro Boston,,,,Nursing home,865 central avenue,skilled nursing facility at north hill,,18.0
,,Eastpointe Rehabilitation Center,255 Central Avenue,Chelsea,2150,Metro Boston,,,,Nursing home,255 central avenue,eastpointe rehabilitation center,,22.0
,,Oxford Rehabilitation & Health Care Center,689 Main Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,689 main street,oxford rehabilitation  health care center,,5.0
,,Glen Ridge Nursing Care Center,120 Murray Street,Medford,2155,Metro Boston,,,,Nursing home,120 murray street,glen ridge nursing care center,,20.0
,,Riverbend of South Natick,34 South Lincoln Street,Natick,1760,Metro West,,,,Nursing home,34 south lincoln street,riverbend of south natick,,6.0
,,Jewish Healthcare Center,629 Salisbury Street,Worcester,1609,Central Massachusetts,,,,Nursing home,629 salisbury street,jewish healthcare center,,6.0
,,Garden Place Healthcare,193-195 Pleasant Street,Attleboro,2703,Metro West,,,,Nursing home,193195 pleasant street,garden place healthcare,,3.0
,,The Woodlands Inn at Edgewood,575 Osgood Street,North Andover,1845,Northeastern Massachusetts,,,,Nursing home,575 osgood street,the woodlands inn at edgewood,,6.0
,,Ledgewood Rehabilitation & Skilled Nursing Center,87 Herrick Street,Beverly,1915,Northeastern Massachusetts,,,,Nursing home,87 herrick street,ledgewood rehabilitation  skilled nursing center,,6.0
,,Plymouth Rehabilitation & Health Care Center,123 South Street,Plymouth,2360,Metro South,,,,Nursing home,123 south street,plymouth rehabilitation  health care center,,1.0
,,Hillcrest Commons Nursing & Rehabilitation Center,169 Valentine Road,Pittsfield,1201,Western Massachusetts,,,,Nursing home,169 valentine road,hillcrest commons nursing  rehabilitation center,,1.0
,,The Highlands,335 Nichols Road,Fitchburg,1420,Central Massachusetts,,,,Nursing home,335 nichols road,the highlands,,3.0
,,GOVERNORS CENTER,66 BROAD STREET,WESTFIELD,185,,,,,Nursing home,66 broad street,governors center,,4.0
,,Vantage at Wilbraham LLC,9 Maple Street,Wilbraham,1095,Western Massachusetts,,,,Nursing home,9 maple street,vantage at wilbraham llc,,4.0
,,Whittier Bradford Transitional Care Unit,145 Ward Hill Avenue,Haverhill,1835,Northeastern Massachusetts,,,,Nursing home,145 ward hill avenue,whittier bradford transitional care unit,,6.0
,,Jeffrey & Susan Brudnick Center for Living,240 Lynnfield Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,240 lynnfield street,jeffrey  susan brudnick center for living,,12.0
,,Care One at Concord,57 Old Road to Nine Acre Corner,Concord,1742,Northeastern Massachusetts,,,,Nursing home,57 old road to nine acre corner,care one at concord,,7.0
,,Care One at Redstone,135 Benton Drive,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,135 benton drive,care one at redstone,,3.0
,,Alliance Health at Rosewood,22 Johnson Street,Peabody,1960,Northeastern Massachusetts,,,,Nursing home,22 johnson street,alliance health at rosewood,,14.0
,,Royal of Cotuit,161 Falmouth Road,Mashpee,2649,Cape and Islands,,,,Nursing home,161 falmouth road,royal of cotuit,,2.0
,,South Dennis Healthcare,1 Love Lane,South Dennis,2660,Cape and Islands,,,,Nursing home,1 love lane,south dennis healthcare,,1.0
,,East Longmeadow Skilled Nursing Center,305 Maple Street,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,305 maple street,east longmeadow skilled nursing center,,3.0
,,Blackstone Valley Health and Rehabilitation,447 Hill Street,Northbridge,1588,Central Massachusetts,,,,Nursing home,447 hill street,blackstone valley health and rehabilitation,,4.0
,,Care One at Lexington,178 Lowell Street,Lexington,2420,Northeastern Massachusetts,,,,Nursing home,178 lowell street,care one at lexington,,17.0
,,Elaine Center at Hadley,20 North Maple Street,Hadley,1035,Western Massachusetts,,,,Nursing home,20 north maple street,elaine center at hadley,,2.0
,,Armenian Nursing & Rehabilitation Center,431 Pond Street,Boston,2130,Metro Boston,,,,Nursing home,431 pond street,armenian nursing  rehabilitation center,,20.0
,,Wingate at Silver Lake,17 Chipman Way,Kingston,2364,Metro South,,,,Nursing home,17 chipman way,wingate at silver lake,,2.0
,,Presentation Rehab and Skilled Care Center,10 Bellamy Street,Boston,2135,Metro Boston,,,,Nursing home,10 bellamy street,presentation rehab and skilled care center,,23.0
,,Chestnut Hill of East Longmeadow,32 Chestnut Street,East Longmeadow,1028,Western Massachusetts,,,,Nursing home,32 chestnut street,chestnut hill of east longmeadow,,4.0
,,Parsons Hill Rehabilitation & Health Care Center,1350 Main Street,Worcester,1603,Central Massachusetts,,,,Nursing home,1350 main street,parsons hill rehabilitation  health care center,,4.0
,,Serenity Hill Nursing Center,655 Dedham Street,Wrentham,2093,Metro West,,,,Nursing home,655 dedham street,serenity hill nursing center,,3.0
,,Care One at Brookline,99 Park Street,Brookline,2446,Metro Boston,,,,Nursing home,99 park street,care one at brookline,,20.0
,,Waterview Lodge Rehabilitation & Healthcare,250 West Union Street,Ashland,1721,Metro West,,,,Nursing home,250 west union street,waterview lodge rehabilitation  healthcare,,4.0
,,Aspen Hill Rehabilitation & Healthcare Center,190 North Avenue,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,190 north avenue,aspen hill rehabilitation  healthcare center,,5.0
,,West Newton Healthcare,25 Armory Street,Newton,2465,Metro Boston,,,,Nursing home,25 armory street,west newton healthcare,,24.0
,,Windemere Nursing & Rehabilitation Center,1 Hospital Road,Oak Bluffs,2557,Cape and Islands,,,,Nursing home,1 hospital road,windemere nursing  rehabilitation center,,1.0
,,Winchester Rehabilitation and Nursing Center,223 Swanton Street,Winchester,1890,Northeastern Massachusetts,,,,Nursing home,223 swanton street,winchester rehabilitation and nursing center,,19.0
,,Quabbin Valley Healthcare,821 Daniel Shays Highway,Athol,1331,Central Massachusetts,,,,Nursing home,821 daniel shays highway,quabbin valley healthcare,,2.0
,,Dwyer Home,25 Stonehaven Drive,Weymouth,2190,Metro South,,,,Nursing home,25 stonehaven drive,dwyer home,,5.0
,,Mont Marie Rehabilitation & Healthcare Center,36 Lower Westfield Road,Holyoke,1040,Western Massachusetts,,,,Nursing home,36 lower westfield road,mont marie rehabilitation  healthcare center,,6.0
,,Parkway Health and Rehabilitation Center,1190 VFW Parkway,Boston,2132,Metro Boston,,,,Nursing home,1190 vfw parkway,parkway health and rehabilitation center,,20.0
,,Laurel Ridge Rehab and Skilled Care Center,174 Forest Hills Street,Boston,2130,Metro Boston,,,,Nursing home,174 forest hills street,laurel ridge rehab and skilled care center,,20.0
,,AdviniaCare Newton Wellesley,694 Worcester Street,Wellesley,2482,Metro Boston,,,,Nursing home,694 worcester street,adviniacare newton wellesley,,23.0
,,Westborough Healthcare,8 Colonial Drive,Westborough,1581,Central Massachusetts,,,,Nursing home,8 colonial drive,westborough healthcare,,7.0
,,"Penacook Place, Inc.",150 Water Street,Haverhill,1830,Northeastern Massachusetts,,,,Nursing home,150 water street,penacook place inc,,5.0
,,Cedarwood Gardens,130 Chestnut Street,Franklin,2038,Metro West,,,,Nursing home,130 chestnut street,cedarwood gardens,,3.0
